 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
מדרשת בן גוריון, 0001140, 0000875, 0000648, 0000000, 0000648, 0000212, 0000002, 0000000, 0000000, 0000000, 0000000, 0000005, 0000011, 0000000, 0000000, 0000020, 0000001, 0000007, 0000058, 0000154, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000101, 0000000, 0000001, 0000000, 0000000, 0000000, 0000011, 0000049, 0000000, 0000003, 0000006, 0000002, 0000001
מודיעין עילית, 0003797, 0020927, 0018979, 0000115, 0018864, 0000014, 0014532, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000302, 0000000, 0000002, 0000111, 0000003, 0000001, 0000002, 0000166, 0000000, 0000000, 0000000, 0000013, 0000247, 0000001, 0000000, 0000001, 0000006, 0000042, 0000002, 0000000, 0000001, 0000014, 0000001, 0003402
מודיעין-מכבים-רעו, 0001200, 0050968, 0040128, 0000174, 0039954, 0006174, 0000155, 0000003, 0000001, 0000022, 0000001, 0000050, 0000305, 0000000, 0000039, 0004840, 0000052, 0000906, 0009002, 0002288, 0000002, 0000012, 0000422, 0000009, 0000004, 0000001, 0010797, 0000057, 0000008, 0000000, 0000020, 0000005, 0000751, 0002693, 0000008, 0000015, 0000356, 0000074, 0000882
מולדת, 0000269, 0000672, 0000522, 0000003, 0000519, 0000217, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000000, 0000000, 0000019, 0000000, 0000010, 0000039, 0000036, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000125, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000047, 0000000, 0000000, 0000006, 0000002, 0000005
מוצא עילית, 0000208, 0000695, 0000479, 0000001, 0000478, 0000120, 0000000, 0000000, 0000000, 0000001, 0000000, 0000011, 0000008, 0000000, 0000000, 0000020, 0000000, 0000017, 0000048, 0000097, 0000000, 0000000, 0000004, 0000000, 0000000, 0000001, 0000094, 0000000, 0000001, 0000000, 0000001, 0000000, 0000011, 0000036, 0000000, 0000000, 0000003, 0000002, 0000003
מוקייבלה, 0000635, 0001938, 0001053, 0000038, 0001015, 0000233, 0000000, 0000166, 0000000, 0000000, 0000000, 0000121, 0000001, 0000000, 0000000, 0000002, 0000000, 0000001, 0000005, 0000005, 0000001, 0000000, 0000001, 0000002, 0000461, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000001, 0000001, 0000000, 0000000, 0000000, 0000010
מורן, 0001163, 0000292, 0000218, 0000002, 0000216, 0000076, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000014, 0000000, 0000001, 0000018, 0000016, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000043, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000021, 0000000, 0000000, 0000004, 0000001, 0000005
מורשת, 0001178, 0000706, 0000593, 0000001, 0000592, 0000003, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000429, 0000000, 0000000, 0000057, 0000000, 0000000, 0000000, 0000047, 0000000, 0000000, 0000000, 0000008, 0000002, 0000000, 0000000, 0000000, 0000000, 0000024, 0000003, 0000000, 0000000, 0000000, 0000000, 0000014
מזור, 0000606, 0000731, 0000564, 0000001, 0000563, 0000096, 0000000, 0000000, 0000000, 0000001, 0000001, 0000001, 0000007, 0000000, 0000000, 0000023, 0000000, 0000018, 0000090, 0000046, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000206, 0000001, 0000000, 0000000, 0000000, 0000001, 0000010, 0000054, 0000000, 0000000, 0000006, 0000000, 0000002
מזכרת בתיה, 0000028, 0007786, 0005853, 0000032, 0005821, 0001109, 0000020, 0000001, 0000000, 0000001, 0000000, 0000009, 0000080, 0000000, 0000009, 0000556, 0000003, 0000149, 0001285, 0000308, 0000000, 0000000, 0000060, 0000001, 0000000, 0000002, 0001363, 0000038, 0000001, 0000000, 0000006, 0000000, 0000098, 0000401, 0000002, 0000006, 0000061, 0000007, 0000245
מזרע, 0000104, 0000657, 0000481, 0000006, 0000475, 0000163, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000008, 0000000, 0000000, 0000004, 0000000, 0000004, 0000011, 0000161, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000086, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000024, 0000000, 0000000, 0000010, 0000000, 0000001
מזרעה, 0000517, 0002510, 0001589, 0000016, 0001573, 0000019, 0000001, 0000181, 0000000, 0000002, 0000000, 0000312, 0000001, 0000000, 0000002, 0000003, 0000000, 0000000, 0000046, 0000208, 0000000, 0000000, 0000002, 0000000, 0000700, 0000000, 0000010, 0000000, 0000001, 0000000, 0000000, 0000001, 0000003, 0000022, 0000001, 0000003, 0000002, 0000000, 0000053
מחולה, 0003599, 0000339, 0000285, 0000002, 0000283, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000190, 0000000, 0000000, 0000032, 0000004, 0000000, 0000000, 0000025, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000004, 0000002, 0000004
מחנה טלי, 0001418, 0000162, 0000098, 0000001, 0000097, 0000014, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000013, 0000000, 0000004, 0000016, 0000005, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000011, 0000001, 0000000, 0000000, 0000000, 0000001
מחנה יוכבד, 0001416, 0000124, 0000091, 0000000, 0000091, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000012, 0000000, 0000002, 0000015, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000008
מחנה יפה, 0001415, 0000222, 0000150, 0000000, 0000150, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000001, 0000028, 0000009, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000049, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000010, 0000000, 0000000, 0000000, 0000000, 0000002
מחנה מרים, 0001414, 0000120, 0000066, 0000000, 0000066, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000025, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000003
מחנה עדי, 0001417, 0000181, 0000129, 0000003, 0000126, 0000018, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000014, 0000000, 0000004, 0000022, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000047, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000010, 0000000, 0000000, 0000000, 0000000, 0000001
מחנה תל נוף, 0001412, 0000198, 0000147, 0000000, 0000147, 0000022, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000012, 0000000, 0000003, 0000030, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000048, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000003
מחניים, 0000308, 0000416, 0000285, 0000002, 0000283, 0000115, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000000, 0000012, 0000000, 0000007, 0000024, 0000028, 0000000, 0000002, 0000002, 0000000, 0000000, 0000000, 0000040, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000031, 0000001, 0000000, 0000004, 0000005, 0000003
מחסיה, 0000776, 0000283, 0000185, 0000001, 0000184, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000037, 0000000, 0000001, 0000073, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000013, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004, 0000002, 0000000, 0000000, 0000000, 0000000, 0000043
מטולה, 0000043, 0001333, 0000872, 0000004, 0000868, 0000183, 0000006, 0000000, 0000000, 0000000, 0000000, 0000004, 0000019, 0000000, 0000000, 0000059, 0000001, 0000046, 0000136, 0000060, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000140, 0000000, 0000000, 0000000, 0000000, 0000000, 0000027, 0000119, 0000000, 0000000, 0000011, 0000043, 0000003
מטע, 0000822, 0000454, 0000322, 0000000, 0000322, 0000058, 0000003, 0000000, 0000000, 0000000, 0000000, 0000015, 0000003, 0000000, 0000000, 0000027, 0000000, 0000014, 0000093, 0000032, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000013, 0000001, 0000000, 0000002, 0000001, 0000015
מי עמי, 0001128, 0000222, 0000184, 0000001, 0000183, 0000056, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000009, 0000000, 0000000, 0000006, 0000000, 0000003, 0000011, 0000039, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000036, 0000001, 0000000, 0000000, 0000000, 0000001, 0000003, 0000010, 0000000, 0000001, 0000002, 0000001, 0000002
מיטב, 0002054, 0000345, 0000234, 0000002, 0000232, 0000027, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000037, 0000000, 0000021, 0000098, 0000001, 0000000, 0000000, 0000018, 0000000, 0000000, 0000000, 0000014, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000002, 0000000, 0000010
מייסר, 0000649, 0001048, 0000438, 0000008, 0000430, 0000040, 0000000, 0000069, 0000000, 0000000, 0000000, 0000038, 0000000, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000174, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000003, 0000001, 0000011, 0000003, 0000001, 0000061
מירב, 0001282, 0000253, 0000206, 0000000, 0000206, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000151, 0000000, 0000000, 0000031, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000002
מירון, 0000607, 0000394, 0000266, 0000000, 0000266, 0000000, 0000059, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000117, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000003, 0000000, 0000034
מישר, 0000731, 0000444, 0000357, 0000001, 0000356, 0000080, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000011, 0000000, 0000001, 0000015, 0000000, 0000009, 0000050, 0000039, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000103, 0000000, 0000000, 0000000, 0000001, 0000000, 0000004, 0000033, 0000000, 0000001, 0000001, 0000000, 0000004
מיתר, 0001268, 0005479, 0004184, 0000021, 0004163, 0000731, 0000010, 0000001, 0000000, 0000003, 0000001, 0000006, 0000028, 0000000, 0000000, 0000600, 0000001, 0000096, 0000856, 0000235, 0000000, 0000000, 0000079, 0000000, 0000004, 0000002, 0000896, 0000003, 0000001, 0000000, 0000000, 0000000, 0000064, 0000423, 0000002, 0000000, 0000037, 0000008, 0000076
מכורה, 0003614, 0000106, 0000077, 0000002, 0000075, 0000014, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000004, 0000000, 0000002, 0000021, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000
מכחול, 0001343, 0000148, 0000037, 0000000, 0000037, 0000003, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000021, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000003
מכמורת, 0000382, 0000994, 0000694, 0000004, 0000690, 0000181, 0000000, 0000000, 0000000, 0000001, 0000000, 0000004, 0000041, 0000000, 0000003, 0000015, 0000000, 0000020, 0000064, 0000094, 0000000, 0000001, 0000002, 0000000, 0000000, 0000000, 0000177, 0000001, 0000000, 0000000, 0000000, 0000003, 0000013, 0000053, 0000000, 0000001, 0000011, 0000003, 0000002
מכמנים, 0001202, 0000233, 0000190, 0000000, 0000190, 0000064, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000001, 0000004, 0000000, 0000000, 0000011, 0000025, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000052, 0000000, 0000001, 0000000, 0000000, 0000000, 0000003, 0000011, 0000000, 0000000, 0000003, 0000001, 0000001
מלאה, 0000164, 0000241, 0000201, 0000000, 0000201, 0000057, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000040, 0000000, 0000006, 0000065, 0000001, 0000000, 0000000, 0000002, 0000000, 0000002, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000024
מלילות, 0002044, 0000220, 0000178, 0000004, 0000174, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000021, 0000058, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000002, 0000000, 0000000, 0000000, 0000000, 0000047
מלכיה, 0000596, 0000423, 0000248, 0000003, 0000245, 0000102, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000000, 0000008, 0000005, 0000001, 0000026, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000038, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000022, 0000000, 0000000, 0000000, 0000000, 0000002
מנוחה, 0002030, 0000336, 0000226, 0000001, 0000225, 0000003, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000047, 0000000, 0000018, 0000092, 0000002, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000006, 0000004, 0000000, 0000000, 0000000, 0000000, 0000002, 0000003, 0000000, 0000000, 0000000, 0000000, 0000038
מנוף, 0001174, 0000493, 0000361, 0000000, 0000361, 0000104, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000004, 0000000, 0000001, 0000008, 0000000, 0000001, 0000023, 0000070, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000103, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000038, 0000000, 0000001, 0000001, 0000001, 0000000
מנות, 0001205, 0000296, 0000200, 0000002, 0000198, 0000022, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000029, 0000000, 0000012, 0000053, 0000011, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000025, 0000002, 0000000, 0000000, 0000001, 0000000, 0000007, 0000016, 0000000, 0000000, 0000001, 0000000, 0000014
מנחמיה, 0000048, 0000902, 0000572, 0000003, 0000569, 0000083, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000058, 0000001, 0000014, 0000199, 0000012, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000083, 0000001, 0000000, 0000000, 0000001, 0000000, 0000010, 0000032, 0000000, 0000000, 0000004, 0000000, 0000034
מנרה, 0000347, 0000216, 0000152, 0000001, 0000151, 0000074, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000002, 0000000, 0000000, 0000003, 0000005, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000019, 0000000, 0000002, 0000003, 0000001, 0000000
מנשית זבדה, 0000994, 0000656, 0000393, 0000004, 0000389, 0000018, 0000000, 0000017, 0000001, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000038, 0000001, 0000004, 0000000, 0000000, 0000000, 0000000, 0000222, 0000000, 0000025, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000029, 0000000, 0000001, 0000000, 0000000, 0000016
מסד, 0001258, 0000380, 0000261, 0000002, 0000259, 0000118, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000022, 0000000, 0000004, 0000022, 0000018, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000041, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000025, 0000000, 0000000, 0000001, 0000001, 0000002
מסדה, 0000263, 0000254, 0000157, 0000000, 0000157, 0000077, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000002, 0000000, 0000003, 0000006, 0000011, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000015, 0000000, 0000000, 0000005, 0000002, 0000000
מסילות, 0000298, 0000472, 0000304, 0000001, 0000303, 0000125, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000004, 0000000, 0000001, 0000013, 0000069, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000061, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000017, 0000000, 0000000, 0000002, 0000001, 0000002
מסילת ציון, 0000742, 0000635, 0000510, 0000000, 0000510, 0000115, 0000002, 0000000, 0000000, 0000000, 0000000, 0000001, 0000004, 0000000, 0000000, 0000044, 0000001, 0000020, 0000097, 0000055, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000092, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000033, 0000000, 0000001, 0000002, 0000001, 0000031
מסלול, 0000748, 0000375, 0000261, 0000000, 0000261, 0000045, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000021, 0000000, 0000025, 0000067, 0000004, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000051, 0000000, 0000000, 0000000, 0000000, 0000000, 0000011, 0000011, 0000000, 0000000, 0000001, 0000001, 0000018
מסעדה, 0004203, 0000173, 0000033, 0000001, 0000032, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000002, 0000021, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001
מסעודין אל-עזאזמה, 0000939, 0005110, 0001904, 0000051, 0001853, 0000004, 0000003, 0000509, 0000000, 0000002, 0000001, 0000001, 0000001, 0000000, 0000002, 0000009, 0000001, 0000002, 0000006, 0000005, 0000002, 0000002, 0000005, 0000004, 0001225, 0000001, 0000001, 0000004, 0000000, 0000000, 0000003, 0000005, 0000002, 0000012, 0000007, 0000006, 0000003, 0000006, 0000019
מעברות, 0000197, 0000735, 0000567, 0000001, 0000566, 0000147, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000029, 0000000, 0000000, 0000002, 0000000, 0000005, 0000015, 0000237, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000093, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000024, 0000000, 0000001, 0000001, 0000001, 0000001
מעגלים, 0001082, 0000834, 0000639, 0000001, 0000638, 0000004, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000229, 0000000, 0000033, 0000155, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000015, 0000008, 0000000, 0000000, 0000003, 0000001, 0000131
מעגן מיכאל, 0000694, 0001444, 0001001, 0000003, 0000998, 0000388, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000011, 0000000, 0000000, 0000018, 0000000, 0000010, 0000038, 0000233, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000182, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000058, 0000001, 0000002, 0000027, 0000004, 0000001
מעגן, 0000678, 0000309, 0000191, 0000001, 0000190, 0000080, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000005, 0000000, 0000003, 0000017, 0000012, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000037, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000016, 0000000, 0000000, 0000013, 0000000, 0000001
מעוז חיים, 0000272, 0000413, 0000267, 0000002, 0000265, 0000148, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000012, 0000000, 0000007, 0000015, 0000014, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000028, 0000000, 0000000, 0000003, 0000000, 0000000
מעון, 0003657, 0000236, 0000170, 0000000, 0000170, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000133, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003
מעונה, 0000570, 0000578, 0000413, 0000000, 0000413, 0000055, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000008, 0000000, 0000001, 0000029, 0000000, 0000005, 0000138, 0000009, 0000000, 0000000, 0000006, 0000000, 0000001, 0000000, 0000067, 0000000, 0000000, 0000000, 0000000, 0000000, 0000020, 0000036, 0000000, 0000000, 0000005, 0000001, 0000027
מעיליא, 0000518, 0002266, 0001501, 0000015, 0001486, 0000055, 0000000, 0000566, 0000001, 0000001, 0000000, 0000512, 0000001, 0000000, 0000000, 0000003, 0000000, 0000003, 0000107, 0000107, 0000000, 0000000, 0000001, 0000000, 0000038, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000018, 0000002, 0000003, 0000016, 0000001, 0000047
מעין ברוך, 0000416, 0000438, 0000315, 0000003, 0000312, 0000130, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000016, 0000000, 0000000, 0000013, 0000000, 0000008, 0000014, 0000026, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000065, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000029, 0000000, 0000000, 0000002, 0000000, 0000000
מעין צבי, 0000290, 0000597, 0000426, 0000002, 0000424, 0000169, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000005, 0000000, 0000000, 0000009, 0000000, 0000006, 0000024, 0000048, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000123, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000026, 0000000, 0000001, 0000004, 0000002, 0000001
מעלה אדומים, 0003616, 0025597, 0018193, 0000144, 0018049, 0000815, 0000260, 0000002, 0000000, 0000012, 0000001, 0000012, 0000050, 0000000, 0000022, 0003745, 0000053, 0000244, 0007540, 0000132, 0000001, 0000001, 0000828, 0000004, 0000001, 0000007, 0001803, 0000087, 0000017, 0000000, 0000035, 0000008, 0000278, 0000322, 0000007, 0000002, 0000224, 0000023, 0001513
מעלה אפרים, 0003608, 0001178, 0000598, 0000011, 0000587, 0000062, 0000010, 0000000, 0000000, 0000003, 0000001, 0000000, 0000015, 0000000, 0000000, 0000097, 0000005, 0000014, 0000179, 0000010, 0000000, 0000000, 0000035, 0000000, 0000000, 0000002, 0000041, 0000005, 0000001, 0000000, 0000001, 0000005, 0000006, 0000042, 0000000, 0000000, 0000029, 0000003, 0000021
מעלה גלבוע, 0001127, 0000263, 0000213, 0000001, 0000212, 0000038, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000089, 0000000, 0000001, 0000035, 0000001, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000000, 0000000, 0000000, 0000011, 0000007, 0000000, 0000000, 0000001, 0000000, 0000001
מעלה גמלא, 0004008, 0000327, 0000243, 0000001, 0000242, 0000066, 0000000, 0000001, 0000000, 0000000, 0000000, 0000003, 0000005, 0000000, 0000000, 0000012, 0000000, 0000006, 0000025, 0000031, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000062, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000025, 0000000, 0000000, 0000003, 0000002, 0000000
מעלה החמישה, 0000286, 0000423, 0000277, 0000000, 0000277, 0000122, 0000001, 0000000, 0000000, 0000001, 0000000, 0000002, 0000004, 0000000, 0000000, 0000002, 0000000, 0000001, 0000021, 0000041, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000051, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000021, 0000001, 0000000, 0000003, 0000000, 0000002
מעלה לבונה, 0003752, 0000346, 0000261, 0000000, 0000261, 0000001, 0000005, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000145, 0000000, 0000001, 0000015, 0000000, 0000000, 0000000, 0000079, 0000000, 0000000, 0000000, 0000001, 0000004, 0000001, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006
מעלה מכמש, 0003651, 0000704, 0000618, 0000002, 0000616, 0000002, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000383, 0000001, 0000001, 0000071, 0000000, 0000000, 0000000, 0000105, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000001, 0000009, 0000000, 0000000, 0000000, 0000001, 0000000, 0000030
מעלה עירון, 0001327, 0007774, 0004009, 0000049, 0003960, 0000068, 0000003, 0001467, 0000000, 0000001, 0000001, 0000960, 0000001, 0000000, 0000000, 0000005, 0000000, 0000002, 0000014, 0000061, 0000000, 0000000, 0000007, 0000002, 0000799, 0000001, 0000004, 0000000, 0000001, 0000000, 0000000, 0000001, 0000010, 0000009, 0000006, 0000008, 0000003, 0000001, 0000525
